adres,city,province,municipality,street,lat,lon
1083CL 114,Amsterdam,Noord-Holland,Amsterdam,Van Heenvlietlaan,52.3277264144640,4.8822263922704
2333AH 134,Leiden,Zuid-Holland,Leiden,Rijnsburgerweg,52.1731184283241,4.4737553808251
